Field,Career,Skills,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Medicine,Legal Consultant,"Python, Critical Thinking, Creativity",3.260573671439635,7,2,2,0,3,0,0,2,3,2,1,2,0,1
Psychology,Risk Analyst,"Time Management, Critical Thinking, Research",4.449496187061007,2,1,1,1,5,0,3,4,4,2,3,3,0,1
Chemistry,Surgeon,"Data Analysis, Research, Team Leadership",3.93550587336529,9,2,1,0,5,1,0,3,3,3,1,0,3,1
Marketing,Illustrator,"Problem Solving, Research, SQL",2.7320915501822345,3,2,1,1,0,1,3,4,3,0,4,4,0,1
Physics,Zoologist,"Data Analysis, SQL, Time Management",3.967342931603315,6,1,2,1,6,1,2,0,4,0,0,3,3,1
Engineering,Financial Controller,"Python, Creativity, Research",3.020116013111011,7,1,4,1,1,0,1,0,0,4,1,3,2,0
Education,Organic Chemist,"Communication, Python, Team Leadership",2.637426077205918,0,2,4,1,6,0,1,3,1,3,3,0,3,1
Psychology,Astronomer,"Creativity, Team Leadership, Communication",2.884517422120346,4,0,4,0,1,0,4,1,3,4,4,4,0,0
Engineering,Physician Assistant,"Python, Time Management, Critical Thinking",3.542412604600429,4,1,4,0,0,0,0,3,2,4,2,0,1,0
Marketing,Civil Engineer,"Creativity, SQL, Research",3.704143966020926,8,1,1,1,9,1,2,2,3,4,1,1,3,1
Physics,Marketing Manager,"Team Leadership, Problem Solving, Communication",3.915427054493856,4,0,3,1,5,0,4,2,2,1,3,0,1,1
Education,Financial Controller,"Time Management, Data Analysis, Problem Solving",4.823337378663954,1,0,3,0,9,1,2,2,4,4,0,4,3,1
Biology,Organic Chemist,"SQL, Critical Thinking, Team Leadership",3.563112244141098,1,1,4,1,8,0,1,3,1,4,3,0,1,1
Law,Lawyer,"Communication, Critical Thinking, Research",2.7831823206142814,7,0,4,1,0,1,2,3,2,2,2,2,1,1
Medicine,Analytical Chemist,"Communication, Creativity, Time Management",3.6670505158530418,5,2,0,0,3,1,0,0,0,3,0,3,3,0
Law,Entrepreneur,"Research, Problem Solving, Data Analysis",3.7733875589380337,2,2,2,1,1,1,0,4,0,3,1,1,1,1
Business,Actuary,"Critical Thinking, Data Analysis, Team Leadership",4.069587281552151,7,1,0,1,7,1,1,3,0,4,0,3,0,0
Marketing,Financial Controller,"SQL, Communication, Team Leadership",2.7386261225577573,1,1,4,0,0,1,3,4,0,0,0,3,1,0
Engineering,Physicist,"Research, SQL, Time Management",4.733315612739178,0,0,0,0,5,0,2,0,4,4,3,1,4,1
Physics,Clinical Psychologist,"Data Analysis, Communication, Team Leadership",4.858787844793412,1,1,4,0,6,1,3,0,4,1,1,4,3,0
Psychology,Psychologist,"Time Management, SQL, Critical Thinking",4.958957015254777,6,0,4,1,3,1,3,0,4,4,0,3,3,0
Biology,Actuary,"Critical Thinking, Creativity, Problem Solving",4.218173189779122,5,1,0,0,8,1,3,4,4,0,0,4,2,0
Law,Game Developer,"SQL, Team Leadership, Data Analysis",4.194299512259898,6,2,4,0,9,0,1,3,1,0,1,1,3,0
Business,Biochemist,"Team Leadership, Problem Solving, Python",3.5772243603718326,6,2,0,0,2,1,4,3,3,1,4,4,4,0
Chemistry,Teacher,"Creativity, Python, Team Leadership",4.649181471884155,2,1,1,1,2,0,0,1,4,3,0,2,4,1
Medicine,Brand Manager,"Team Leadership, Time Management, Communication",3.988945535946713,8,2,4,0,4,1,4,3,2,2,1,1,0,1
Medicine,Advertising Manager,"Time Management, SQL, Python",2.9558207703997295,3,1,1,0,1,0,4,0,0,4,3,4,2,0
Architecture,Pharmacist,"Data Analysis, Research, Creativity",3.888598424413975,4,1,1,0,8,1,0,2,3,4,1,0,0,1
Marketing,Animator,"Creativity, Team Leadership, Time Management",3.512087465559121,6,0,3,0,6,1,2,1,1,2,3,3,4,1
Engineering,Art Therapist,"SQL, Problem Solving, Creativity",3.8213325114081402,5,1,0,1,8,0,4,4,2,4,0,1,4,1
Psychology,Legal Secretary,"Research, Communication, Creativity",2.9732869170267007,8,2,1,0,4,0,3,3,2,3,3,4,3,1
Chemistry,Architect,"Data Analysis, Creativity, SQL",3.46575831010622,1,0,0,1,4,1,0,2,1,4,4,3,0,0
Law,Data Scientist,"Data Analysis, Time Management, SQL",4.912484777382202,2,0,4,0,2,0,1,0,3,0,1,3,1,0
Medicine,Legal Analyst,"Time Management, Data Analysis, Creativity",4.796760012391686,7,1,4,0,2,1,4,4,0,2,1,4,0,0
Psychology,Web Developer,"Problem Solving, Data Analysis, Communication",3.4306108009861993,9,0,2,1,6,1,0,3,1,2,3,3,0,1
Music,Physical Chemist,"Communication, Python, Research",4.197666237467741,7,0,1,0,1,1,2,2,3,4,1,4,2,0
Business,Financial Analyst,"Data Analysis, Critical Thinking, Communication",4.290126991146629,8,2,2,1,2,0,0,0,3,3,2,1,3,0
Computer Science,Pharmacist,"Research, SQL, Time Management",4.512931824916575,0,0,3,1,5,1,0,1,1,2,3,2,2,1
Architecture,Forensic Psychologist,"Data Analysis, Python, Problem Solving",2.6898940556630855,8,0,1,1,3,1,4,0,4,0,0,0,1,0
Engineering,Advertising Manager,"Communication, SQL, Research",4.58426307366258,3,0,4,0,4,0,2,4,4,3,2,3,4,1
Finance,Game Developer,"Critical Thinking, Data Analysis, Research",2.6851377878919758,9,2,0,0,9,0,3,4,2,0,4,0,3,0
Art,Sound Engineer,"Creativity, SQL, Python",3.211809326150301,0,1,4,1,6,0,3,4,1,2,2,4,2,0
Biology,Organic Chemist,"Problem Solving, Communication, Research",3.290976930282275,9,1,4,0,3,1,0,1,3,4,1,2,3,1
Engineering,Ecologist,"SQL, Research, Time Management",4.254724349203702,2,0,3,0,1,0,0,0,3,4,4,2,2,1
Law,Biomedical Engineer,"Creativity, Time Management, SQL",4.387096476080243,9,2,2,1,4,0,2,3,4,4,2,0,0,0
Business,Special Education Teacher,"Critical Thinking, Data Analysis, Problem Solving",4.778199718941491,8,0,0,1,1,1,2,2,3,2,1,1,4,1
Art,Animator,"Time Management, Creativity, Data Analysis",2.9963897203247476,7,2,3,0,4,1,1,0,2,1,3,3,0,0
Physics,Animator,"Critical Thinking, Python, Problem Solving",3.4908481868251133,4,1,2,0,5,1,4,2,2,3,0,0,1,0
Art,Chemical Engineer,"Data Analysis, Python, SQL",3.399695203413753,2,2,0,1,4,1,0,0,1,4,0,3,3,1
Biology,Digital Marketing Specialist,"Research, Critical Thinking, Time Management",3.659806461077668,5,0,1,1,8,1,2,3,2,1,4,0,0,0
Chemistry,Digital Marketing Specialist,"Data Analysis, Python, SQL",4.683637095442098,8,1,3,1,6,1,1,3,1,3,4,3,0,0
Law,Marketing Manager,"Data Analysis, Creativity, Python",4.5974139260010425,0,1,0,0,6,1,3,2,0,2,2,4,0,1
Education,Brand Manager,"SQL, Team Leadership, Creativity",4.8789104570069455,4,0,3,1,7,0,2,1,3,0,1,4,0,0
Medicine,Nuclear Physicist,"Time Management, Data Analysis, Communication",2.936916091122224,8,2,1,1,3,0,4,1,0,0,1,3,2,0
Chemistry,Forensic Psychologist,"Communication, Problem Solving, Critical Thinking",4.644163625494103,6,2,2,1,7,1,0,0,2,4,0,0,1,1
Biology,Physicist,"Team Leadership, Communication, Data Analysis",4.167031945936786,7,1,4,0,7,0,1,4,4,0,2,1,4,0
Engineering,Counselor,"Creativity, Critical Thinking, Problem Solving",3.012478891498138,3,0,0,1,5,0,1,1,2,4,1,4,4,1
Education,Nurse,"Communication, Creativity, Time Management",4.317089055639476,6,0,2,1,0,1,3,3,1,3,3,1,1,0
Biology,Legal Analyst,"Problem Solving, Time Management, Data Analysis",4.2140146245515275,3,2,0,1,2,0,1,2,2,1,4,3,2,0
Finance,AI Researcher,"Critical Thinking, Data Analysis, Problem Solving",3.010092261837489,6,1,3,1,4,0,1,4,0,3,0,1,4,0
Architecture,School Psychologist,"Research, SQL, Creativity",3.3691170613033496,7,2,4,1,3,1,1,2,4,3,0,0,2,0
Music,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",4.191815311066455,7,0,4,1,5,0,3,4,3,3,3,4,1,0
Finance,Ecologist,"Creativity, SQL, Research",2.7483448038702365,3,0,0,1,9,1,2,0,0,1,0,3,4,1
Engineering,Actuary,"Time Management, Critical Thinking, Problem Solving",3.011021543055377,8,1,0,1,0,0,2,1,4,1,1,3,2,0
Engineering,Curriculum Developer,"Communication, SQL, Python",4.034449406494459,4,2,3,1,3,1,1,3,4,2,3,3,4,1
Law,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",3.5757041248435613,5,2,2,1,9,0,4,2,0,2,0,4,2,1
Biology,Marketing Specialist,"Communication, Problem Solving, Creativity",3.5080090797609116,8,2,1,1,5,1,3,1,2,2,4,1,3,0
Business,Curriculum Developer,"Critical Thinking, Team Leadership, Data Analysis",4.816036522497312,8,2,3,0,9,0,2,1,2,4,4,4,0,0
Biology,Landscape Architect,"Team Leadership, Communication, Creativity",2.6102797184125768,5,1,3,1,6,0,3,0,4,3,0,0,2,0
Physics,School Psychologist,"SQL, Team Leadership, Creativity",4.891531628017642,5,2,1,1,6,0,1,4,1,3,3,0,2,0
Business,Marketing Manager,"Team Leadership, Python, Time Management",3.8177394549300425,4,0,4,0,7,0,0,4,4,3,4,0,0,1
Engineering,Chemical Engineer,"SQL, Communication, Critical Thinking",3.4991935461811163,6,1,2,0,8,1,2,0,4,3,0,1,1,0
Finance,Microbiologist,"Python, Critical Thinking, Creativity",4.486742494579729,1,1,1,0,5,1,1,4,1,2,2,1,0,0
Physics,Education Administrator,"Curriculum Design, Policy Management, Staff Supervision",4.825165194108837,2,2,0,0,0,1,1,4,1,0,3,3,1,1
Marketing,Illustrator,"SQL, Team Leadership, Problem Solving",4.832147988234083,8,0,4,1,1,0,3,2,3,1,4,4,3,1
Architecture,Art Therapist,"Communication, Problem Solving, Research",4.6249807827787315,1,2,3,0,5,1,4,0,1,1,3,0,1,1
Biology,Conductor,"Problem Solving, Critical Thinking, SQL",2.5472878610147873,2,1,4,1,7,1,4,4,3,2,1,3,1,0
Art,Actuary,"Critical Thinking, SQL, Communication",2.920191298603281,0,2,2,0,9,1,2,0,4,4,1,1,4,0
Marketing,Landscape Architect,"SQL, Critical Thinking, Time Management",2.7468717304400414,2,0,0,0,7,0,3,2,2,1,1,3,3,1
Computer Science,Music Teacher,"Python, SQL, Problem Solving",3.916954043984803,2,0,2,1,3,1,4,2,1,2,4,0,3,1
Chemistry,Judge,"Creativity, Python, Team Leadership",4.094910175594016,0,2,2,0,0,0,3,2,2,0,1,3,2,1
Physics,Physicist,"SQL, Time Management, Team Leadership",4.413043575169676,1,0,1,1,7,1,2,1,1,0,3,2,4,0
Education,Risk Analyst,"Critical Thinking, Problem Solving, Communication",4.36048895795312,7,1,0,1,5,0,0,0,4,1,3,1,0,0
Biology,Industrial-Organizational Psychologist,"Time Management, Creativity, Critical Thinking",4.045496620504544,1,1,4,0,2,0,2,3,1,2,0,1,4,0
Music,Analytical Chemist,"Data Analysis, Problem Solving, Communication",3.860202851951401,1,1,1,1,3,1,3,1,4,0,4,3,0,1
Marketing,Cybersecurity Analyst,"Problem Solving, Research, Creativity",4.670736747371155,7,2,1,0,2,1,3,3,3,4,1,2,3,0
Computer Science,Software Developer,"Data Analysis, Creativity, Problem Solving",3.786415566592173,0,2,3,1,9,0,4,2,1,1,1,3,2,0
Law,Zoologist,"Critical Thinking, Python, Problem Solving",3.597987197427137,9,1,1,0,3,1,4,4,4,3,1,0,1,1
Biology,Biologist,"Creativity, Critical Thinking, Python",4.99980308305978,3,0,3,1,6,0,0,1,4,3,4,3,3,0
Psychology,Music Therapist,"Data Analysis, Creativity, SQL",4.383518667773961,4,1,2,0,8,1,4,3,1,3,0,0,4,1
Marketing,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",3.5967710084420337,4,1,2,1,2,1,2,3,0,3,4,4,3,1
Education,Mechanical Engineer,"Python, Communication, Team Leadership",3.881522938781897,4,0,4,0,7,0,0,2,3,2,2,0,1,0
Biology,Pharmacist,"Critical Thinking, Communication, Problem Solving",4.892665051835707,4,0,4,0,0,1,0,1,2,3,4,0,0,0
Law,Architectural Technologist,"Communication, Time Management, Problem Solving",2.628221669982405,9,0,4,0,1,1,3,1,1,3,0,2,1,0
Business,Physician Assistant,"Communication, SQL, Data Analysis",4.882717858517635,6,2,3,1,3,0,3,2,2,0,2,3,0,0
Physics,School Counselor,"Communication, Research, Creativity",3.3662937094056167,8,0,4,0,8,1,0,2,0,0,2,4,1,1
Medicine,Biologist,"Communication, Creativity, Python",2.884427453019255,0,2,4,1,4,1,3,1,4,2,1,1,2,1
Medicine,Pharmacist,"Critical Thinking, Creativity, Data Analysis",3.5842774128234822,3,0,0,0,4,0,4,0,4,4,0,2,1,0
Medicine,Investment Banker,"Python, Time Management, SQL",2.812871955195839,2,0,1,0,7,1,3,2,4,1,2,2,1,1
Psychology,Nurse,"Creativity, Critical Thinking, Python",2.9933227333368597,3,1,4,0,6,0,0,1,4,0,1,3,2,1
Psychology,Electrical Engineer,"Creativity, Time Management, Python",3.1020947704098965,6,1,3,0,5,0,2,3,2,3,3,1,1,0
Biology,Musician,"Research, Python, Time Management",3.6561885755557393,0,0,1,1,0,0,2,2,1,4,1,3,4,1
Finance,Credit Analyst,"Creativity, Team Leadership, Python",4.492819977583191,4,0,0,1,5,0,4,0,2,0,4,3,0,0
Chemistry,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",2.788136274360826,3,0,1,1,9,1,1,0,4,1,2,3,4,1
Business,Principal,"Team Leadership, Communication, Problem Solving",2.7120605094889902,8,2,0,1,5,0,0,4,1,2,2,4,1,0
Business,Financial Controller,"Data Analysis, Research, SQL",2.8223620679194017,9,1,1,1,6,0,3,0,4,1,2,1,0,0
Finance,Microbiologist,"Creativity, Python, Communication",3.700173280334753,6,2,4,1,7,0,2,2,3,2,1,0,3,0
Education,Music Teacher,"Team Leadership, Python, Time Management",3.1930451019493225,1,2,3,0,7,1,1,1,1,2,4,1,2,1
Art,Nuclear Physicist,"Team Leadership, Python, Communication",4.973450528202438,9,2,0,0,4,1,2,4,1,3,2,4,3,1
Engineering,Physical Chemist,"Problem Solving, Critical Thinking, SQL",3.8223610894553017,0,1,1,0,4,0,4,3,1,1,2,1,4,1
Art,Nurse,"Team Leadership, Data Analysis, Creativity",4.307293816701479,3,1,2,1,8,1,4,3,3,3,3,0,3,0
Business,Biomedical Engineer,"Problem Solving, Data Analysis, Python",3.25401541868354,5,2,0,1,2,0,1,0,0,0,4,2,4,0
Law,Nuclear Physicist,"Python, Time Management, Data Analysis",4.169926346217054,5,2,2,0,5,0,0,2,4,4,3,2,4,0
Chemistry,Brand Manager,"Communication, Research, Time Management",4.938755144967297,5,2,2,0,3,0,1,0,4,4,0,1,4,1
Architecture,Nurse,"Python, Critical Thinking, Data Analysis",4.920888171451107,1,2,0,0,6,1,0,4,2,2,4,3,1,1
Art,Principal,"Problem Solving, Data Analysis, Creativity",3.4817778788730944,9,2,1,1,8,1,0,3,4,3,4,3,2,0
Medicine,Organic Chemist,"Team Leadership, Research, SQL",3.8236631071406793,9,1,0,0,7,0,3,3,1,4,3,3,3,1
Art,Art Therapist,"Time Management, Problem Solving, Research",4.823042839233025,9,1,4,0,6,1,4,0,4,3,1,1,3,0
Biology,Web Developer,"Problem Solving, Team Leadership, SQL",3.2261193531211285,6,0,2,1,4,1,2,2,3,0,4,2,3,0
Finance,Financial Advisor,"Data Analysis, Time Management, Critical Thinking",4.041539344232381,7,2,4,1,4,1,2,0,4,2,2,2,4,0
Art,Market Research Analyst,"Critical Thinking, Time Management, Research",4.147381154036021,3,1,3,1,1,0,1,3,4,0,2,1,1,1
Computer Science,Marketing Specialist,"Python, Team Leadership, Critical Thinking",2.8903951884960493,7,1,3,1,6,0,0,3,2,1,2,0,0,0
Marketing,Actuary,"Time Management, Python, Team Leadership",3.711135075470724,6,2,1,1,7,0,0,2,4,2,0,1,3,0
Psychology,Nuclear Physicist,"Data Analysis, SQL, Python",4.226192157977278,5,0,1,0,9,0,2,3,2,4,0,2,4,0
Art,Cybersecurity Analyst,"Time Management, Python, Creativity",4.694447963857047,2,1,2,0,8,0,1,4,2,3,4,1,4,0
Business,Quantum Physicist,"Team Leadership, Creativity, Data Analysis",3.7325058838535234,9,1,3,0,5,1,1,3,3,4,3,3,4,0
Marketing,Sound Engineer,"Time Management, Python, Team Leadership",3.9843583084810796,9,0,4,1,9,0,4,3,0,0,4,2,1,1
Medicine,Industrial-Organizational Psychologist,"Creativity, Time Management, Problem Solving",2.899790257427523,4,2,0,0,3,0,4,3,2,4,4,1,3,1
Psychology,Forensic Psychologist,"Problem Solving, Team Leadership, Research",2.640473311873607,5,2,2,0,9,0,3,4,3,0,0,0,1,1
Law,Software Developer,"Data Analysis, Research, Python",3.8143848022810363,0,1,2,1,6,0,3,1,1,2,0,2,2,0
Business,Animator,"Python, Data Analysis, Team Leadership",3.4994414662295625,1,2,1,0,2,0,4,0,0,4,0,3,0,1
Chemistry,Accountant,"Team Leadership, Data Analysis, SQL",2.8791687378907396,4,1,1,1,4,0,1,1,3,3,4,2,0,1
Business,Software Developer,"Python, Communication, Data Analysis",2.642087509245593,6,2,4,0,5,1,1,1,3,2,3,1,0,1
Biology,Music Therapist,"SQL, Critical Thinking, Problem Solving",3.029942025200154,8,1,0,1,4,1,4,4,3,3,4,4,0,1
Marketing,Acoustics Specialist,"Creativity, Research, Team Leadership",4.876086531630999,3,1,0,0,0,1,1,4,0,1,3,1,2,0
Engineering,Dentist,"Time Management, Python, Communication",2.5293963349348525,4,2,2,0,5,0,3,4,4,0,4,0,2,0
Music,Legal Secretary,"Research, Team Leadership, Critical Thinking",4.540195529557735,8,1,0,0,6,0,2,4,3,4,3,3,4,0
Medicine,Clinical Psychologist,"Critical Thinking, Time Management, Creativity",3.7885744455386567,2,1,0,0,4,0,1,3,2,1,4,2,0,0
Computer Science,Architect,"Data Analysis, Problem Solving, SQL",2.8965207014484893,4,1,3,1,7,0,4,2,3,2,2,2,2,1
Art,AI Researcher,"Time Management, Data Analysis, Research",4.121613126174614,1,1,4,1,3,1,4,0,3,0,0,1,3,1
Business,Industrial-Organizational Psychologist,"Communication, SQL, Creativity",3.05185859207412,4,0,0,0,3,0,0,4,0,0,4,4,3,1
Marketing,Financial Analyst,"Team Leadership, Problem Solving, Time Management",3.8838544644702626,3,2,0,0,1,1,3,1,1,0,0,4,3,1
Art,Pharmacist,"Research, Python, Communication",4.601640873811494,2,2,1,1,6,1,3,3,3,2,3,3,0,0
Physics,Interior Designer,"Communication, Data Analysis, Critical Thinking",4.560622800381563,3,0,1,0,3,0,3,3,4,4,1,4,3,1
Chemistry,Urban Planner,"GIS, Urban Design, Zoning Laws",4.575572254977259,8,2,2,0,6,1,1,3,1,0,0,4,0,0
Art,Principal,"Data Analysis, Team Leadership, Python",2.6767125732318817,7,0,4,0,9,0,3,2,4,1,4,0,2,0
Education,AI Researcher,"Research, SQL, Time Management",4.925402781792291,6,1,0,1,1,0,1,1,2,2,4,3,3,1
Education,Lawyer,"SQL, Problem Solving, Creativity",4.391040664458849,0,1,0,1,2,0,3,0,4,4,3,2,4,1
Computer Science,Nuclear Physicist,"Python, Problem Solving, Data Analysis",3.8654520711550147,9,2,3,1,2,0,1,0,1,2,2,0,1,1
Biology,Urban Planner,"GIS, Urban Design, Zoning Laws",4.190757603432731,1,2,4,0,7,0,1,3,0,0,3,1,3,1
Engineering,Actuary,"Communication, SQL, Research",2.6726832193130843,9,0,4,0,8,0,0,0,3,0,0,3,3,0
Art,Clinical Psychologist,"Creativity, Team Leadership, Data Analysis",3.196665029484139,9,1,4,0,7,1,3,0,1,2,2,0,4,0
Marketing,Principal,"Communication, SQL, Data Analysis",2.7549367598400725,9,0,4,1,4,1,0,1,3,1,0,0,2,1
Psychology,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",2.861391324637033,5,1,2,1,2,1,2,1,2,0,3,1,0,0
Law,Curriculum Developer,"Python, Creativity, Data Analysis",4.770586291151747,7,2,3,0,3,0,2,3,4,2,4,1,2,1
Education,Mechanical Engineer,"SQL, Research, Data Analysis",4.868409058114802,1,2,4,1,3,0,1,2,4,3,0,2,3,1
Music,Teacher,"Data Analysis, Creativity, Team Leadership",4.505860817448276,8,1,4,0,8,0,3,3,1,1,1,4,4,1
Medicine,Zoologist,"Python, Creativity, SQL",4.50434019476571,8,0,1,1,9,0,2,0,4,3,2,4,4,1
Art,Physical Chemist,"Research, Team Leadership, Critical Thinking",3.040750888229103,9,2,4,0,2,0,0,1,1,3,1,3,1,1
Art,Chemical Engineer,"Team Leadership, Python, SQL",4.576588803844775,5,0,0,1,3,0,4,2,4,1,4,3,3,1
Education,Social Media Manager,"Creativity, Team Leadership, Time Management",4.782754929351167,2,0,2,1,8,0,2,3,0,3,0,3,2,0
Computer Science,Composer,"Time Management, Problem Solving, SQL",2.856110417336878,3,0,0,0,4,1,2,2,3,0,0,0,1,1
Architecture,Astronomer,"Time Management, Creativity, Data Analysis",3.9306849986527834,8,2,2,0,0,1,0,3,3,2,1,3,1,0
Engineering,Physicist,"Problem Solving, Time Management, Communication",2.6114607911915177,1,2,1,0,5,1,1,4,2,0,4,1,0,0
Finance,Legal Secretary,"Research, Creativity, Team Leadership",3.44920647183552,0,2,4,0,2,0,3,4,4,2,2,4,4,1
Engineering,Dentist,"Time Management, Research, Team Leadership",2.5500076065609827,7,0,4,1,1,0,1,4,1,4,2,1,0,1
Finance,Conductor,"Data Analysis, Research, Time Management",4.162595539128256,4,0,1,1,9,1,1,1,0,2,0,0,1,1
Engineering,Illustrator,"Team Leadership, Python, Communication",3.6906432299294742,2,1,2,0,6,1,0,1,0,0,3,0,3,1
Biology,Forensic Psychologist,"Team Leadership, Problem Solving, Data Analysis",2.949772046042818,6,2,2,1,5,0,2,1,1,1,1,4,4,1
Engineering,Market Research Analyst,"Time Management, Critical Thinking, Research",4.346387649527677,8,2,0,1,2,0,3,3,2,0,2,4,4,0
Computer Science,Web Developer,"SQL, Data Analysis, Team Leadership",2.891942322498741,7,2,0,1,7,0,1,0,0,2,1,2,0,0
Business,Astronomer,"Python, Critical Thinking, Time Management",4.2973186469985825,5,0,4,0,8,1,4,4,2,2,1,2,2,0
Business,Risk Analyst,"Data Analysis, Critical Thinking, Problem Solving",3.963850774498548,3,1,1,0,7,0,0,3,1,0,0,3,3,0
Business,Construction Manager,"Creativity, Research, Problem Solving",4.3496066663393025,6,2,0,1,2,0,2,0,3,3,4,0,0,1
Law,Financial Analyst,"Time Management, Creativity, Problem Solving",4.022824911187139,0,2,3,1,9,0,3,2,0,3,2,1,0,1
Architecture,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",3.202476998720442,1,0,4,1,0,0,0,3,0,1,4,0,0,1
Music,Construction Manager,"Time Management, SQL, Research",3.292961689642132,6,1,0,1,1,1,1,3,0,4,1,1,3,0
Medicine,Entrepreneur,"Communication, SQL, Python",4.712730374997161,6,1,3,0,0,1,4,1,1,0,1,0,1,0
Education,Teacher,"Time Management, Critical Thinking, Communication",2.625631303788192,8,1,0,1,6,0,3,1,3,2,3,3,1,1
Architecture,Brand Manager,"SQL, Python, Creativity",3.593251044195589,2,0,0,0,4,1,4,2,3,4,3,2,1,1
Engineering,Nurse,"Time Management, Data Analysis, Problem Solving",2.8571405228801057,3,0,3,1,2,1,4,0,0,2,2,0,4,0
Finance,Nuclear Physicist,"Research, SQL, Critical Thinking",4.8655602128517454,6,0,3,0,3,1,0,0,1,4,2,4,0,0
Physics,Physical Chemist,"Critical Thinking, Research, Problem Solving",4.215043534666422,7,2,1,0,0,0,3,2,2,4,1,3,1,0
Architecture,Composer,"SQL, Critical Thinking, Problem Solving",3.8249246697037873,1,0,0,0,0,1,2,0,2,3,3,0,3,1
Business,Financial Analyst,"Critical Thinking, Communication, Team Leadership",3.672075580036572,1,2,4,0,2,0,4,2,3,3,0,0,0,0
Psychology,Physician Assistant,"SQL, Problem Solving, Critical Thinking",3.751205743317862,2,0,2,1,0,1,3,1,3,3,4,2,3,1
Finance,Music Therapist,"Problem Solving, Critical Thinking, SQL",4.217551390242703,5,1,2,0,1,0,2,3,1,1,4,2,0,0
Physics,Animator,"Time Management, Communication, SQL",4.611452588301064,7,0,3,0,2,0,2,3,3,4,2,4,2,0
Education,Interior Designer,"Time Management, Python, SQL",2.691639600497825,7,0,3,1,5,1,4,2,1,2,0,4,0,1
Finance,Biomedical Engineer,"Data Analysis, Communication, Python",4.135142117179857,8,1,1,0,6,0,4,2,0,3,1,3,4,0
Computer Science,Human Resources Specialist,"Research, SQL, Communication",4.783699571704188,2,1,2,0,3,0,0,0,2,0,1,0,1,1
Psychology,Music Therapist,"Communication, Time Management, SQL",4.875998425165146,0,0,4,0,4,1,4,1,2,4,3,2,1,1
Architecture,Physical Chemist,"Time Management, Team Leadership, Data Analysis",4.702111989038933,6,1,0,0,2,1,3,4,4,4,4,3,4,0
Finance,Market Research Analyst,"Critical Thinking, Team Leadership, Time Management",2.723271848435661,3,2,3,0,1,1,4,2,3,4,0,0,2,1
Law,Paralegal,"Critical Thinking, Communication, Creativity",3.9278395077786965,4,2,1,0,2,1,4,4,1,1,2,2,0,0
Law,Organic Chemist,"Python, Research, Problem Solving",2.9684741186883365,1,0,0,1,4,1,1,4,3,0,1,3,2,1
Marketing,Psychologist,"Time Management, SQL, Communication",3.0749406216920026,8,1,3,0,1,1,1,0,3,1,1,4,0,1
Finance,Illustrator,"SQL, Creativity, Critical Thinking",3.3162325260733136,0,1,2,0,0,1,0,4,0,4,4,1,2,0
Medicine,Web Developer,"Creativity, Communication, Team Leadership",3.1384373992995434,6,0,3,1,8,0,0,4,0,0,1,2,4,1
Education,Digital Marketing Specialist,"Team Leadership, SQL, Problem Solving",4.891329289731784,8,1,2,0,4,0,3,0,2,1,0,0,4,1
Physics,Judge,"Data Analysis, Research, Communication",3.1201946475158904,6,1,2,1,7,0,3,0,1,1,4,3,1,1
Education,Principal,"Data Analysis, Time Management, Team Leadership",3.6098870274549375,9,2,2,1,8,1,4,4,0,2,2,4,1,1
Business,Judge,"SQL, Time Management, Creativity",3.682382271147315,3,0,4,0,7,0,0,3,4,2,4,1,3,0
Art,Legal Consultant,"Creativity, SQL, Time Management",3.0235274005910373,1,1,3,0,7,1,1,2,1,2,4,3,0,0
Architecture,School Counselor,"Team Leadership, Data Analysis, Python",3.4322284809435173,6,2,2,1,6,1,2,0,0,1,1,4,2,1
Marketing,Psychologist,"SQL, Python, Communication",3.694943359743807,9,0,0,1,8,1,4,2,3,2,3,4,4,1
Physics,Accountant,"Critical Thinking, Communication, Creativity",3.4232328774062903,2,0,2,1,0,1,2,4,3,0,0,0,4,1
Business,Marketing Specialist,"SQL, Problem Solving, Time Management",4.544462917400894,2,0,3,1,8,1,3,2,4,0,1,1,0,0
Engineering,Web Developer,"SQL, Time Management, Critical Thinking",4.138399469612106,9,1,4,1,3,1,4,2,2,2,1,4,0,1
Medicine,Risk Analyst,"Critical Thinking, Time Management, SQL",2.8362402773891677,1,2,0,0,2,1,3,4,1,1,0,1,2,1
Chemistry,Special Education Teacher,"Communication, SQL, Critical Thinking",3.2711787613356114,4,2,0,0,2,1,3,1,1,2,2,2,4,0
Engineering,Industrial-Organizational Psychologist,"Team Leadership, Communication, Creativity",4.758618288778757,4,0,3,1,2,1,2,1,0,0,2,3,2,1
Chemistry,Civil Engineer,"Data Analysis, Python, Critical Thinking",2.814414780000808,5,2,1,1,4,1,2,3,0,0,0,1,2,1
